AABB,20210311,0.1531,0.1531,0.131,0.1437,41560900
AABVF,20210311,0.337,0.34,0.3193,0.3193,10800
AACAY,20210311,5.475,5.5877,5.35,5.49,39000
AACS,20210311,0.0032,0.0032,0.0015,0.0029,632400
AACTF,20210311,0.36,0.36,0.3361,0.342,256400
AAGC,20210311,0.0036,0.0042,0.003,0.0036,20516100
AAGFF,20210311,0.8313,0.86,0.8,0.8265,215300
AAGH,20210311,0.1305,0.14,0.1305,0.131,74800
AAGIY,20210311,52,52.6,51.85,52.57,268600
AAIGF,20210311,13.14,13.55,13.052,13.14,273100
AAIRF,20210311,0.21,0.2162,0.2052,0.2162,39300
AAMMF,20210311,0.1682,0.17,0.14,0.1638,106800
AAMTF,20210311,0.2201,0.2201,0.2201,0.2201,2000
AAPJ,20210311,0.07,0.07,0.067,0.067,16000
AAPT,20210311,0.0006,0.0006,0.0005,0.0006,6462700
AASP,20210311,1.46,1.46,1.3,1.3,2300
AASZF,20210311,17.03,17.03,17.03,17.03,300
AATDF,20210311,0.4,0.4045,0.4,0.4,3700
AATGF,20210311,0.1132,0.12,0.1132,0.12,6000
AATRL,20210311,54.12,55.86,53.38,55.86,1100
AATV,20210311,0.55,0.62,0.425,0.48,142400
AAUKF,20210311,41.63,41.63,41.59,41.59,600
AAVMY,20210311,12.11,12.18,12.1,12.16,5300
AAVVF,20210311,2.16,2.3511,2.16,2.2996,61800
AAZZF,20210311,2.6096,2.6241,2.47,2.5,88000
ABBRF,20210311,0.423,0.423,0.3802,0.389,179100
ABBY,20210311,0.009,0.009,0.0062,0.0089,125200
ABCAF,20210311,0.205,0.205,0.205,0.205,1500
ABCE,20210311,0.0638,0.0851,0.0619,0.08,5038900
ABCFF,20210311,0.1159,0.1159,0.1072,0.1113,19300
ABCP,20210311,0.29,0.29,0.29,0.29,800
ABEPF,20210311,0.201,0.2187,0.1985,0.208,401500
ABGOF,20210311,0.24,0.24,0.24,0.24,700
ABILF,20210311,0.4878,0.55,0.42,0.423,900
ABLE,20210311,0.045,0.045,0.015,0.045,51000
ABLZF,20210311,30.73,31.33,30.73,31.33,3400
ABMBF,20210311,0.1096,0.1096,0.1037,0.1056,12500
ABMC,20210311,0.135,0.16,0.135,0.1542,325900
ABML,20210311,2.03,2.2,1.9,2.2,6490400
ABMT,20210311,0.181,0.181,0.181,0.181,3000
ABPR,20210311,0.0015,0.0015,0.001,0.001,1710400
ABQQ,20210311,0.1415,0.16,0.1312,0.149,1019600
ABSSF,20210311,17.6213,19.5,17.6213,19.46,77400
ABTI,20210311,1.68,1.75,1.68,1.75,600
ABVC,20210311,4.4,4.4,4.4,4.4,500
ABVG,20210311,0.0003,0.0004,0.0003,0.0004,140803700
ABWN,20210311,0.0005,0.0005,0.0004,0.0004,15721300
ABXXF,20210311,2.65,2.95,2.49,2.95,96100
ACAI,20210311,1.59,1.68,1.55,1.68,5500
ACAN,20210311,1.28,1.32,1.14,1.27,19600
ACAZF,20210311,14.7419,14.87,14.68,14.7012,6600
ACBM,20210311,3.25,3.38,3.25,3.38,2400
ACCA,20210311,0.0389,0.0389,0.0321,0.038,75400
ACCFF,20210311,5.551,5.552,5.551,5.551,8600
ACCMF,20210311,0.3681,0.37,0.3534,0.37,1400
ACCR,20210311,0.017,0.0308,0.017,0.022,1208800
ACCYY,20210311,8.29,8.39,8.29,8.37,8600
ACDSF,20210311,2.21,2.21,2.07,2.17,15700
ACDVF,20210311,23,23.8593,22.8904,23.6322,533800
ACFN,20210311,0.54,0.579,0.53,0.55,124800
