A,20210311,121.42,122.92,120.9,121.83,1818600
AA,20210311,32.3,32.87,31.69,32.16,6256800
AAC.U,20210311,10.06,10.1,10.05,10.075,685500
AAI-B,20210311,22.18,22.22,22.18,22.22,900
AAI-C,20210311,22.26,22.26,21.93,21.93,4700
AAIC,20210311,4.29,4.4,4.28,4.35,96200
AAN,20210311,24.31,24.55,23.67,24.4,447000
AAP,20210311,176.34,177.44,173.37,173.64,850200
AAT,20210311,34.84,35.14,34.18,34.71,512200
AB,20210311,38.95,39.25,38.78,38.97,352200
ABB,20210311,30.83,31.14,30.74,30.89,1478500
ABBV,20210311,108.13,108.63,107.34,107.87,4669400
ABC,20210311,110.68,111.43,108.52,109.86,1314100
ABEV,20210311,2.76,2.78,2.73,2.75,14291200
ABG,20210311,187.87,188.84,183.44,187.94,174300
ABM,20210311,50.73,51.96,49.74,51.54,472300
ABR,20210311,16.45,16.61,16.3,16.5,1382400
ABR-A,20210311,25.59,25.71,25.52,25.71,500
ABR-B,20210311,25.4893,25.49,25.4893,25.4899,1000
ABR-C,20210311,25.89,26,25.87,26,3900
ABT,20210311,116.69,117.86,115.84,117.52,4915700
AC,20210311,37.01,37.77,36.02,36.81,24000
ACA,20210311,64.45,64.84,63.19,63.98,316800
ACB,20210311,10.04,10.65,9.85,10.59,15547900
ACC,20210311,41.81,42.37,41.57,42.11,1573900
ACCO,20210311,8.9,9.12,8.75,8.92,715800
ACEL,20210311,11.72,12.13,11.64,12.1,195900
ACH,20210311,13.34,13.73,13.1,13.72,362900
ACI,20210311,18.1,18.4,17.9,18.22,2407300
ACI.S,20210311,10.33,10.5,10.3,10.43,852300
ACI.U,20210311,11.67,12.22,11.67,11.99,13700
ACI.W,20210311,2.69,3,2.6,2.72,255400
ACIC,20210311,11,11.28,10.82,11.21,3505300
ACM,20210311,61.45,62.23,60.73,60.81,1012800
ACN,20210311,260,268.11,260,266.37,2972000
ACN.U,20210311,10.44,10.59,10.41,10.49,76300
ACN.W,20210311,1.12,1.25,1.1,1.13,398200
ACND,20210311,9.95,9.99,9.9,9.92,347600
ACP,20210311,11.43,11.55,11.4,11.4,105400
ACR,20210311,16.05,16.06,15.35,15.63,66600
ACR-C,20210311,24.9,24.9,24.8,24.82,18800
ACRE,20210311,14.7,14.77,14.46,14.59,243700
ACV,20210311,32.46,32.9,32.46,32.69,38600
ADC,20210311,65.36,66.62,65.05,65.83,1131800
ADCT,20210311,25.48,25.96,24.62,25.19,132100
ADE.U,20210311,10.06,10.09,10.05,10.07,13900
ADE.W,20210311,0.7,0.76,0.7,0.75,140300
ADEX,20210311,9.7,9.74,9.7,9.74,835900
ADM,20210311,58.39,59.12,57.85,58.59,2784100
ADNT,20210311,40.36,41.25,39.75,40.32,821500
ADS,20210311,108.36,110.6,107.34,109.04,1268900
ADT,20210311,8.64,8.68,8.19,8.57,5462900
ADX,20210311,18.03,18.17,17.92,18.04,139200
AEB,20210311,25.15,25.3,25.12,25.25,17000
AEE,20210311,76.09,76.67,75.86,76.07,3332400
AEFC,20210311,25.82,25.96,25.81,25.92,49100
AEG,20210311,4.93,4.97,4.89,4.94,2006600
AEL,20210311,31.42,32.15,31.41,31.75,975100
AEL-A,20210311,25.99,26.31,25.99,26.06,23200
AEL-B,20210311,27.21,27.47,27.21,27.37,15900
AEM,20210311,58.75,59.22,57.86,58.97,1023400
