A,20210311,121.42,122.92,120.9,121.83,1818600
AA,20210311,32.3,32.87,31.69,32.16,6256800
AAA,20210311,25.09,25.09,25.08,25.08,500
AAAU,20210311,17.16,17.2,17.12,17.15,1166200
AAC.U,20210311,10.06,10.1,10.05,10.075,685500
AACG,20210311,4.52,4.93,4.32,4.78,447500
AACQ,20210311,10.6,10.81,10.47,10.78,3128900
AACQU,20210311,11.2,11.59,11.2,11.59,37800
AACQW,20210311,2.17,2.64,2.06,2.4,494400
AADR,20210311,64.15,64.74,64.15,64.7348,4500
AAI-B,20210311,22.18,22.22,22.18,22.22,900
AAIC,20210311,4.29,4.4,4.28,4.35,96200
AAI-C,20210311,22.26,22.26,21.93,21.93,4700
AAL,20210311,22,22.5,21.76,22.15,39001200
AAMC,20210311,19.41,20.4623,17.5,18.16,66900
AAME,20210311,3.94,4.53,3.93,4.37,135000
AAN,20210311,24.31,24.55,23.67,24.4,447000
AAOI,20210311,8.6,8.99,8.57,8.85,646400
AAON,20210311,72.48,73.99,72.09,73.36,262100
AAP,20210311,176.34,177.44,173.37,173.64,850200
AAPL,20210311,122.54,123.21,121.26,121.96,102934100
AAT,20210311,34.84,35.14,34.18,34.71,512200
AAU,20210311,0.66,0.71,0.64,0.7,2216700
AAWW,20210311,61,61.73,60.08,61.66,541700
AAXJ,20210311,95.38,96.15,94.99,96.07,625100
AB,20210311,38.95,39.25,38.78,38.97,352200
ABB,20210311,30.83,31.14,30.74,30.89,1478500
ABBV,20210311,108.13,108.63,107.34,107.87,4669400
ABC,20210311,110.68,111.43,108.52,109.86,1314100
ABCB,20210311,52.21,54.27,51.8415,54.15,326900
ABCL,20210311,34.22,36.22,32.9,36,1066000
ABCM,20210311,21.25,21.63,21.11,21.47,30300
ABEO,20210311,2.22,2.31,2.21,2.26,1851400
ABEQ,20210311,26.2593,26.2701,26.19,26.19,24400
ABEV,20210311,2.76,2.78,2.73,2.75,14291200
ABG,20210311,187.87,188.84,183.44,187.94,174300
ABGI,20210311,10.09,10.1,10.01,10.08,150000
ABIO,20210311,4.16,4.36,4.1,4.31,662600
ABM,20210311,50.73,51.96,49.74,51.54,472300
ABMD,20210311,300.91,306.14,298.04,304.37,243200
ABNB,20210311,189.9,201,188.5,197.87,6026800
ABR,20210311,16.45,16.61,16.3,16.5,1382400
ABR-A,20210311,25.59,25.71,25.52,25.71,500
ABR-B,20210311,25.4893,25.49,25.4893,25.4899,1000
ABR-C,20210311,25.89,26,25.87,26,3900
ABST,20210311,15.44,16.15,15.44,16.14,181100
ABT,20210311,116.69,117.86,115.84,117.52,4915700
ABTX,20210311,42,42.5,41.29,41.5,149900
ABUS,20210311,3.74,3.88,3.7,3.8,1759400
AC,20210311,37.01,37.77,36.02,36.81,24000
ACA,20210311,64.45,64.84,63.19,63.98,316800
ACAC,20210311,10.05,10.57,10.01,10.52,308400
ACACU,20210311,10.55,11.31,10.55,11.3,12500
ACACW,20210311,1.86,2.52,1.85,2.31,102200
ACAD,20210311,27.18,27.58,26.42,26.75,4994100
ACAHU,20210311,10.03,10.03,10.01,10.03,76000
ACB,20210311,10.04,10.65,9.85,10.59,15547900
ACBI,20210311,25.5,25.5,24.63,25.15,75500
ACC,20210311,41.81,42.37,41.57,42.11,1573900
ACCD,20210311,44.98,48.29,44.58,47.04,1058800
ACCO,20210311,8.9,9.12,8.75,8.92,715800
